acl|2.3.2-2
adduser|3.152
apt|3.0.3
attr|1:2.5.2-3
audit|1:4.0.2-2
base-files|13.8+deb13u6
base-passwd|3.6.7
bash|5.2.37-2
bzip2|1.0.8-6
ca-certificates|20250419
cdebconf|0.280
coreutils|9.7-3
dash|0.5.12-12
db5.3|5.3.28+dfsg2-9
debconf|1.5.91
debian-archive-keyring|2025.1
debianutils|5.23.2
diffutils|1:3.10-4
dpkg|1.22.22
findutils|4.10.0-3
gcc-14|14.2.0-19
gdbm|1.24-2
glibc|2.41-12+deb13u3
gmp|2:6.3.0+dfsg-3
grep|3.11-4
gzip|1.13-1
hostname|3.25
init-system-helpers|1.69~deb13u1
libbsd|0.12.2-2
libcap-ng|0.8.5-4
libcap2|1:2.75-10+deb13u1
libffi|3.4.8-2
libmd|1.1.0-2
libseccomp|2.6.0-2
libselinux|3.8.1-1
libsemanage|3.8.1-1
libsepol|3.8.1-1
libxcrypt|1:4.4.38-1
libzstd|1.5.7+dfsg-1
lz4|1.10.0-4
mawk|1.3.4.20250131-1
ncurses|6.5+20250216-2
netbase|6.5
nettle|3.10.1-1
openssl|3.5.6-1~deb13u2
pam|1.7.0-5
pcre2|10.46-1~deb13u1
perl|5.40.1-6
readline|8.2-6
rust-sequoia-sqv|1.3.0-3
sed|4.9-2+deb13u1
shadow|1:4.17.4-2
sqlite3|3.46.1-7+deb13u1
systemd|257.13-1~deb13u1
sysvinit|3.14-4
tar|1.35+dfsg-3.1
tzdata|2026b-0+deb13u1
util-linux|2.41-5
xxhash|0.8.3-2
xz-utils|5.8.1-1+deb13u1
zlib|1:1.3.dfsg+really1.3.1-1
